"","genus","family","order","group","binomial","id"
"70","Gaura","Onagraceae","Myrtales","Angiosperms","Gaura lindheimeri","vand"
"71","Shepherdia","Elaeagnaceae","Rosales","Angiosperms","Shepherdia canadensis","ubc"
"72","Elodea","Hydrocharitaceae","Alismatales","Angiosperms","Elodea canadensis","ubc"
"73","Equisetum","Equisetaceae","Equisetales","Pteridophytes","Equisetum scirpoides","ubc"
"74","Schefflera","Araliaceae","Apiales","Angiosperms","Schefflera delavayi","ubc"
"75","Narcissus","Amaryllidaceae","Asparagales","Angiosperms","Narcissus minor","ubc"
"76","Daphniphyllum","Daphniphyllaceae","Saxifragales","Angiosperms","Daphniphyllum macropodum","ubc"
"77","Corymbia","Myrtaceae","Myrtales","Angiosperms","Corymbia citriodora","vand"
"78","Catalpa","Bignoniaceae","Lamiales","Angiosperms","Catalpa fargesii","ubc"
"79","Sassafras","Lauraceae","Laurales","Angiosperms","Sassafras albidum","ubc"
"80","Coriaria","Coriariaceae","Cucurbitales","Angiosperms","Coriaria microphylla","ubc"
"81","Lysimachia","Primulaceae","Ericales","Angiosperms","Lysimachia clethroides","ubc"
"82","Clethra","Clethraceae","Ericales","Angiosperms","Clethra delavayi","ubc"
"83","Campanula","Campanulaceae","Asterales","Angiosperms","Campanula patula","vand"
"84","Crambe","Brassicaceae","Brassicales","Angiosperms","Crambe maritima","vand"
"85","Verbena","Verbenaceae","Lamiales","Angiosperms","Verbena hastata","ubc"
"86","Toona","Meliaceae","Sapindales","Angiosperms","Toona sinensis","ubc"
"87","Medeola","Liliaceae","Liliales","Angiosperms","Medeola virginiana","ubc"
"88","Geranium","Geraniaceae","Geraniales","Angiosperms","Geranium tuberosum","vand"
"89","Ephedra","Ephedraceae","Gnetales","Gymnosperms","Ephedra frustillata","ubc"
"90","Dianthus","Caryophyllaceae","Caryophyllales","Angiosperms","Dianthus microlepis","ubc"
"91","Matteuccia","Onocleaceae","Eupolypod II","Pteridophytes","Matteuccia struthiopteris","ubc"
"92","Bretschneidera","Akaniaceae","Brassicales","Angiosperms","Bretschneidera sinensis","ubc"
"93","Rhamnus","Rhamnaceae","Rosales","Angiosperms","Rhamnus alpina","ubc"
"94","Butia","Arecaceae","Arecales","Angiosperms","Butia capitata","vand"
"95","Emmenopterys","Rubiaceae","Gentianales","Angiosperms","Emmenopterys henryi","ubc"
"96","Angelica","Apiaceae","Apiales","Angiosperms","Angelica archangelica","vand"
"97","Firmiana","Malvaceae","Malvales","Angiosperms","Firmiana simplex","ubc"
"98","Viola","Violaceae","Malpighiales","Angiosperms","Viola pubescens","vand"
"99","Luzula","Juncaceae","Poales","Angiosperms","Luzula sylvatica","ubc"
"100","Orostachys","Crassulaceae","Saxifragales","Angiosperms","Orostachys malacophylla","ubc"
"101","Tapiscia","Tapisciaceae","Huerteales","Angiosperms","Tapiscia sinensis","ubc"
"102","Helwingia","Helwingiaceae","Aquifoliales","Angiosperms","Helwingia chinensis","ubc"
"103","Hedychium","Zingiberaceae","Zingiberales","Angiosperms","Hedychium coronarium","ubc"
"104","Lewisia","Montiaceae","Caryophyllales","Angiosperms","Lewisia pygmaea","ubc"
"105","Itea","Iteaceae","Saxifragales","Angiosperms","Itea virginica","ubc"
"106","Liquidambar","Altingiaceae","Saxifragales","Angiosperms","Liquidambar formosana","ubc"
"107","Reseda","Resedaceae","Brassicales","Angiosperms","Reseda luteola","ubc"
"108","Jovellana","Calceolariaceae","Lamiales","Angiosperms","Jovellana violacea","ubc"
"109","Linum","Linaceae","Malpighiales","Angiosperms","Linum hirsutum","ubc"
