TaxonName,Locality,MaterialType,AltitudeFrom,AltitudeTo,CoordLatDD,CoordLongDD,CountryName,ItemAccNoFull,ItemLocationCode,AccNoCons,CollNo,DetType,ProvenanceCode,AtrA_Variant,Collector,ItemSpecCount
Rhododendron luteiflorum,,unrooted cutting,,,,,,1964-0001.02,3AB5,00002/0-0001-1964,,,G,,,1
Rhododendron luteiflorum,,unrooted cutting,,,,,,1964-0001.04,3AE3,00002/0-0001-1964,,,G,,,3
Rhododendron luteiflorum,,unrooted cutting,,,,,,1964-0001.05,HUBC,00002/0-0001-1964,,,G,,,1
Rhododendron spiciferum,,unrooted cutting,,,,,,1964-0003.02,LAS2,00004/0-0001-1964,,,G,,,1
Rhododendron spiciferum,,unrooted cutting,,,,,,1964-0003.04,3AB1,00004/0-0001-1964,,,G,,,1
Rhododendron uvariifolium,,scion,,,,,,1964-0006.01,3AE4,00015/0-0003-1964,,,G,,,1
Rhododendron ririei,,scion,,,,,,1964-0007.02,3AA2,00020/0-0004-1964,,,G,,,1
Rhododendron ririei,,scion,,,,,,1964-0007.03,3AA2,00020/0-0004-1964,,,G,,,1
Rhododendron ririei,,scion,,,,,,1964-0007.04,3AA2,00020/0-0004-1964,,,G,,,1
Rhododendron cinnabarinum subsp. cinnabarinum,,unrooted cutting,,,,,,1964-0008.02,3ADA,00024/0-0005-1964,,,G,,,1
Rhododendron glischrum subsp. rude,,scion,,,,,,1964-0009.01,3AE4,00030/0-0006-1964,,,G,,,1
Rhododendron fulvum,,scion,,,,,,1964-0010.02,HUBC,00032/0-0007-1964,,,U,,,1
Rhododendron concinnum Pseudoyanthinum Group,,unrooted cutting,,,,,,1964-0013.01,3AA7,00041/0-0011-1964,,,G,,,1
Rhododendron concinnum Pseudoyanthinum Group,,unrooted cutting,,,,,,1964-0013.02,3AB1,00041/0-0011-1964,,,G,,,1
Rhododendron concinnum Pseudoyanthinum Group,,unrooted cutting,,,,,,1964-0013.05,3AA7,00041/0-0011-1964,,,G,,,1
Rhododendron concinnum Pseudoyanthinum Group,,unrooted cutting,,,,,,1964-0013.06,3AA7,00041/0-0011-1964,,,G,,,1
Rhododendron concinnum Pseudoyanthinum Group,,unrooted cutting,,,,,,1964-0013.07,3AA7,00041/0-0011-1964,,,G,,,1
Rhododendron concinnum Pseudoyanthinum Group,,unrooted cutting,,,,,,1964-0013.08,3AA7,00041/0-0011-1964,,,G,,,1
Rhododendron concinnum Pseudoyanthinum Group,,unrooted cutting,,,,,,1964-0013.09,3AA7,00041/0-0011-1964,,,G,,,1
Rhododendron concinnum Pseudoyanthinum Group,,unrooted cutting,,,,,,1964-0013.10,3AA7,00041/0-0011-1964,,,G,,,1
Rhododendron pseudochrysanthum,,scion,,,,,,1964-0015.01,3AA5,00044/0-0012-1964,,,G,,,1
Rhododendron pseudochrysanthum,,scion,,,,,,1964-0015.02,3AA5,00044/0-0012-1964,,,G,,,1
Rhododendron piercei,,plant,,,,,,1964-0016.01,3AB7,00046/0-0013-1964,,,G,,,1
Rhododendron piercei,,plant,,,,,,1964-0016.02,HUBC,00046/0-0013-1964,,,G,,,1
Rhododendron piercei,,plant,,,,,,1964-0016.03,HUBC,00046/0-0013-1964,,,G,,,1
Rhododendron maculiferum subsp. anwheiense,,scion,,,,,,1965-0001.01,3AA5,00049/0-0014-1965,,,G,,,1
Rhododendron maculiferum subsp. anwheiense,,scion,,,,,,1965-0001.02,3AB6,00049/0-0014-1965,,,G,,,3
Rhododendron maculiferum subsp. anwheiense,,scion,,,,,,1965-0001.03,3AA5,00049/0-0014-1965,,,G,,,1
Rhododendron maculiferum subsp. anwheiense,,scion,,,,,,1965-0001.04,3AA5,00049/0-0014-1965,,,G,,,1
Rhododendron maculiferum subsp. anwheiense,,scion,,,,,,1965-0001.05,3AA5,00049/0-0014-1965,,,G,,,1
Rhododendron maculiferum subsp. anwheiense,,scion,,,,,,1965-0001.07,HUBC,00049/0-0014-1965,,,G,,,1
Rhododendron degronianum 'Dalriada',,scion,,,,,,1965-0003.01,3AH6,00053/0-0014-1965,,,G,,,1
Rhododendron degronianum 'Dalriada',,scion,,,,,,1965-0003.02,HUBC,00053/0-0014-1965,,,G,,,1
Rhododendron erosum,,scion,,,,,,1965-0004.01,3AB6,00054/0-0014-1965,,,G,,,1
Rhododendron erosum,,scion,,,,,,1965-0004.02,HUBC,00054/0-0014-1965,,,G,,,1
Rhododendron maculiferum subsp. maculiferum,,scion,,,,,,1965-0005.03,3AB4,00055/0-0014-1965,,,G,,,1
Rhododendron argipeplum,,plant,,,,,,1965-0006.03,HUBC,00056/0-0014-1965,,,U,,,1
Rhododendron wasonii,,scion,,,,,,1965-0008.01,3AD4,00059/0-0014-1965,,,G,yellow selection,,3
Rhododendron orbiculare subsp. orbiculare,,unrooted cutting,,,,,,1972-0009.02,HUBC,00062/0-0015-1972,,,U,,,1
Rhododendron floribundum,nw Sichuan,scion,,,,,China,1965-0011.01,3AAD,00073/0-0018-1965,W.4266,,W,,"Wilson, Ernest",1
Rhododendron floribundum,nw Sichuan,scion,,,,,China,1965-0011.03,3AAD,00073/0-0018-1965,W.4266,,W,,"Wilson, Ernest",1
Rhododendron degronianum subsp. heptamerum,,scion,,,,,,1965-0012.02,3AJ1,00074/0-0018-1965,,,G,,,1
Rhododendron degronianum subsp. heptamerum,,scion,,,,,,1965-0012.03,3AJ1,00074/0-0018-1965,,,G,,,1
Rhododendron principis,,scion,,,,,,1965-0013.01,3AD4,00075/0-0018-1965,,,G,,,3
Rhododendron pachytrichum,,scion,,,,,,1965-0015.01,3AB6,00080/0-0008-1965,,,G,,,2
Rhododendron pachytrichum,,scion,,,,,,1965-0015.02,HUBC,00080/0-0008-1965,,,G,,,1
Rhododendron viscidifolium,,scion,,,,,,1965-0018.03,HUBC,00086/0-0006-1965,,,U,,,1
Rhododendron barbatum,,scion,,,,,,1965-0020.01,3AB6,00091/0-0007-1965,,,G,,,1
Rhododendron barbatum,,scion,,,,,,1965-0020.02,HUBC,00091/0-0007-1965,,,G,,,1
Rhododendron coriaceum,,scion,,,,,,1965-0021.01,3AF5,00092/0-0007-1965,,,G,,,1
Rhododendron dichroanthum subsp. scyphocalyx,,scion,,,,,,1965-0022.02,3AB3,00093/0-0007-1965,,,G,,,2
Rhododendron dichroanthum subsp. scyphocalyx,,scion,,,,,,1965-0022.03,3AB4,00093/0-0007-1965,,,G,,,1
Rhododendron dichroanthum subsp. scyphocalyx,,scion,,,,,,1965-0022.04,HUBC,00093/0-0007-1965,,,G,,,1
Rhododendron oreodoxa var. fargesii,,unrooted cutting,,,,,,1965-0023.01,3AC9,00094/0-0007-1965,,,G,,,1
Rhododendron oreodoxa var. fargesii,,unrooted cutting,,,,,,1965-0023.03,3AD9,00094/0-0007-1965,,,G,,,1
Rhododendron longesquamatum,,unrooted cutting,,,,,,1972-0012.02,3AA5,00097/0-0019-1972,,,G,,,1
Rhododendron sp.,,scion,,,,,,1965-0024.01,3AF4,00098/0-0019-1965,,,G,,,1
Rhododendron sp.,,scion,,,,,,1965-0024.02,3AF7,00098/0-0019-1965,,,G,,,1
Rhododendron × planetum,,scion,,,,,,1965-0025.03,HUBC,00114/0-0021-1965,,,U,,,1
Rhododendron hodgsonii,,scion,,,,,,1965-0026.01,3AE9,00118/0-0005-1965,,,G,,,1
Rhododendron rex subsp. arizelum 'Brodick',,scion,,,,,,1965-0027.01,3AE9,00120/0-0001-1965,,,G,,,1
Rhododendron rex subsp. arizelum 'Brodick',,scion,,,,,,1965-0027.02,3AE9,00120/0-0001-1965,,,G,,,1
Rhododendron rex subsp. arizelum 'Brodick',,scion,,,,,,1965-0027.03,3AE9,00120/0-0001-1965,,,G,,,1
Rhododendron rex subsp. arizelum 'Brodick',,scion,,,,,,1965-0027.05,HUBC,00120/0-0001-1965,,,G,,,1
Rhododendron rex subsp. arizelum 'Brodick',,scion,,,,,,1965-0027.06,HUBC,00120/0-0001-1965,,,G,,,1
Rhododendron campanulatum subsp. campanulatum,,scion,,,,,,1965-0028.02,3AF6,00123/0-0022-1965,,,G,,,1
Rhododendron campanulatum subsp. campanulatum,,scion,,,,,,1965-0028.03,HUBC,00123/0-0022-1965,,,G,,,1
Rhododendron leucaspis,,unrooted cutting,,,,,,1965-0030.02,HUBC,00157/0-0007-1965,,,U,,,1
Rhododendron ambiguum,,unrooted cutting,,,,,,1965-0032.01,3AB5,00164/0-0018-1965,,,G,,,1
Rhododendron stenopetalum 'Linearifolium',,unrooted cutting,,,,,,1965-0035.01,3AE3,00174/0-0003-1965,,,G,,,1
Rhododendron stenopetalum 'Linearifolium',,unrooted cutting,,,,,,1965-0035.02,3AE1,00174/0-0003-1965,,,G,,,2
Rhododendron stenopetalum 'Linearifolium',,unrooted cutting,,,,,,1965-0035.03,LAS5,00174/0-0003-1965,,,G,,,1
Rhododendron stenopetalum 'Linearifolium',,unrooted cutting,,,,,,1965-0035.04,3AE1,00174/0-0003-1965,,,G,,,2
Rhododendron stenopetalum 'Linearifolium',,unrooted cutting,,,,,,1965-0035.05,HUBC,00174/0-0003-1965,,,G,,,1
Rhododendron orbiculare subsp. orbiculare,,scion,,,,,,1965-0042.02,3AH4,00184/0-0024-1965,,,G,,,1
Rhododendron racemosum,,plant,,,,,,1965-0043.01,LAS5,00186/0-0013-1965,,,U,,,1
Rhododendron racemosum,,plant,,,,,,1965-0043.02,HUBC,00186/0-0013-1965,,,U,,,1
Rhododendron glaucophyllum var. glaucophyllum,,unrooted cutting,,,,,,1965-0047.02,3AF1,00196/0-0005-1965,,,G,,,1
Rhododendron calostrotum subsp. keleticum,,unrooted cutting,,,,,,1965-0049.01,3AE3,00200/0-0026-1965,,,G,(mounded selection),,1
Rhododendron calostrotum subsp. keleticum,,unrooted cutting,,,,,,1965-0049.04,3AF1,00200/0-0026-1965,,,G,(mounded selection),,1
Rhododendron calostrotum subsp. keleticum,"Xizang (Tibet) Aut. Reg., SE",unrooted cutting,4570,,,,China,1965-0050.01,LAS5,00201/0-0026-1965,F.19919,,W,,"Forrest, George",1
Rhododendron traillianum var. dictyotum,nw Yunnan,scion,,,,,China,1965-0051.01,3AD4,00203/0-0021-1965,,,G,,"Rock, Joseph",1
Rhododendron × lochmium,,unrooted cutting,,,,,,1965-0052.01,3AF1,00205/0-0021-1965,,,G,,,11
Rhododendron bainbridgeanum,,scion,,,,,China,1966-0002.01,3AA5,00216/0-0010-1966,F.21821,,W,,"Forrest, George",1
Rhododendron bainbridgeanum,,scion,,,,,China,1966-0002.03,HUBC,00216/0-0010-1966,F.21821,,W,,"Forrest, George",1
Rhododendron brachycarpum,,scion,,,,,,1966-0003.01,3AF4,00218/0-0010-1966,,,G,,,1
Rhododendron fortunei subsp. discolor Houlstonii Group,,scion,,,,,,1966-0009.01,3AC6,00236/0-0021-1966,,,G,,,1
Rhododendron fortunei subsp. discolor Houlstonii Group,,scion,,,,,,1966-0009.02,3ABA,00236/0-0021-1966,,,G,,,1
Rhododendron fortunei subsp. discolor Houlstonii Group,,scion,,,,,,1966-0009.03,3AH5,00236/0-0021-1966,,,G,,,1
Rhododendron praevernum,,unrooted cutting,,,,,,1973-0006.02,HUBC,00237/2-0021-1973,,,U,,,1
Rhododendron hunnewellianum subsp. hunnewellianum,,unrooted cutting,,,,,,1966-0015.01,3AAD,00245/0-0011-1966,,cf.,G,,,1
Rhododendron hunnewellianum subsp. hunnewellianum,,unrooted cutting,,,,,,1966-0015.03,HUBC,00245/0-0011-1966,,cf.,G,,,1
Rhododendron ferrugineum,,unrooted cutting,,,,,,1972-0030.02,LEU,00256/0-0026-1972,,,G,,,1
Rhododendron hippophaeoides var. occidentale,,unrooted cutting,,,,,,1966-0020.02,3AA8,00257/0-0026-1966,,,G,,,1
Rhododendron calostrotum subsp. keleticum,,unrooted cutting,,,,,,1966-0022.01,LAS5,00259/0-0026-1966,,,G,,,2
Rhododendron pemakoense Patulum Group,,unrooted cutting,,,,,,1966-0023.01,3AE3,00260/0-0026-1966,,,G,,,1
Rhododendron pemakoense Patulum Group,,unrooted cutting,,,,,,1966-0023.02,3AF1,00260/0-0026-1966,,,G,,,1
Rhododendron pemakoense Patulum Group,,unrooted cutting,,,,,,1966-0023.03,HUBC,00260/0-0026-1966,,,G,,,1
Rhododendron williamsianum,,unrooted cutting,,,,,,1966-0026.02,3AC7,00268/0-0004-1966,,,G,,,1
Rhododendron williamsianum,,unrooted cutting,,,,,,1966-0026.07,3AAB,00268/0-0004-1966,,,G,,,1
Rhododendron williamsianum,,unrooted cutting,,,,,,1966-0026.09,3AA8,00268/0-0004-1966,,,G,,,1
Rhododendron williamsianum,,unrooted cutting,,,,,,1966-0026.10,3AB5,00268/0-0004-1966,,,G,,,1
Rhododendron williamsianum,,unrooted cutting,,,,,,1966-0026.11,3AF1,00268/0-0004-1966,,,G,,,3
Rhododendron williamsianum,,unrooted cutting,,,,,,1966-0026.15,3AG5,00268/0-0004-1966,,,G,,,1
Rhododendron williamsianum,,unrooted cutting,,,,,,1966-0026.16,3AAB,00268/0-0004-1966,,,G,,,1
Rhododendron campylocarpum subsp. campylocarpum,,unrooted cutting,,,,,,1966-0027.01,3AC7,00271/0-0009-1966,,,G,,,1
Rhododendron campylocarpum subsp. campylocarpum,,unrooted cutting,,,,,,1966-0027.02,HUBC,00271/0-0009-1966,,,G,,,1
Rhododendron haematodes subsp. chaetomallum,,unrooted cutting,,,,,,1966-0028.02,3AB4,00275/0-0010-1966,,,G,,,3
Rhododendron thayerianum,,unrooted cutting,,,,,,1966-0030.01,3AA2,00277/0-0010-1966,,,G,,,1
Rhododendron thayerianum,,unrooted cutting,,,,,,1966-0030.02,3AA2,00277/0-0010-1966,,,G,,,1
Rhododendron thayerianum,,unrooted cutting,,,,,,1966-0030.03,3AA2,00277/0-0010-1966,,,G,,,1
Rhododendron thayerianum,,unrooted cutting,,,,,,1966-0030.04,HUBC,00277/0-0010-1966,,,G,,,1
Rhododendron oreotrephes,,unrooted cutting,,,,,,1966-0032.01,3AE3,00281/0-0021-1966,F.20489,,W,,"Forrest, George",1
Rhododendron oreotrephes,,unrooted cutting,,,,,,1966-0032.02,3AE3,00281/0-0021-1966,F.20489,,W,,"Forrest, George",1
Rhododendron yunnanense,,unrooted cutting,,,,,,1966-0033.01,3AA8,00283/0-0021-1966,,,G,Tower Court form,,1
Rhododendron mekongense var. rubrolineatum,,unrooted cutting,,,,,,1966-0035.01,3AE3,00288/0-0008-1966,,,G,,,2
Rhododendron mekongense var. rubrolineatum,,unrooted cutting,,,,,,1966-0035.03,HUBC,00288/0-0008-1966,,,G,,,1
Rhododendron mekongense var. rubrolineatum,,unrooted cutting,,,,,,1966-0035.04,HUBC,00288/0-0008-1966,,,G,,,1
Rhododendron oreodoxa var. fargesii,,unrooted cutting,,,,,,1967-0005.01,3AC6,00301/0-0021-1967,,,G,,,1
Rhododendron thomsonii subsp. thomsonii,Xizang (Tibet),unrooted cutting,,,,,China,1967-0009.01,3AC7,00313/0-0010-1967,L&S.2847,,W,,"Ludlow, F.; Sherriff, George",1
Rhododendron thomsonii subsp. thomsonii,Xizang (Tibet),unrooted cutting,,,,,China,1967-0009.02,3AC7,00313/0-0010-1967,L&S.2847,,W,,"Ludlow, F.; Sherriff, George",1
Rhododendron thomsonii subsp. thomsonii,Xizang (Tibet),unrooted cutting,,,,,China,1967-0009.03,HUBC,00313/0-0010-1967,L&S.2847,,W,,"Ludlow, F.; Sherriff, George",1
Rhododendron beesianum,"e.flank, Lichiang RG",unrooted cutting,,,,,China,1967-0010.01,3AC6,00318/0-0006-1967,,,W,,,1
Rhododendron wardii var. wardii,,unrooted cutting,,,,,,1967-0011.01,3AC7,00322/0-0006-1967,,,G,,,1
Rhododendron augustinii subsp. augustinii,,unrooted cutting,,,,,,1963-0001.01,3AE7,00323/0-0021-1963,,,G,,,1
Rhododendron augustinii subsp. augustinii,,unrooted cutting,,,,,,1963-0001.02,3AA7,00323/0-0021-1963,,,G,,,1
Rhododendron augustinii subsp. augustinii,,unrooted cutting,,,,,,1963-0001.03,3AA7,00323/0-0021-1963,,,G,,,1
Rhododendron argyrophyllum subsp. nankingense 'Chinese Silver',,scion,,,,,,1964-0018.01,3AA3,00327/0-0021-1964,,,G,,,1
Rhododendron argyrophyllum subsp. nankingense 'Chinese Silver',,scion,,,,,,1964-0018.02,3AA3,00327/0-0021-1964,,,G,,,1
Rhododendron argyrophyllum subsp. nankingense 'Chinese Silver',,scion,,,,,,1964-0018.03,3AA3,00327/0-0021-1964,,,G,,,1
Rhododendron fortunei,,unknown,,,,,,1964-0019.01,3AD9,00328/0-0021-1964,,,G,,,1
Rhododendron decorum,,unrooted cutting,,,,,,1964-0020.01,3AD4,00330/0-0026-1964,,,G,,,1
Rhododendron decorum,,unrooted cutting,,,,,,1964-0020.03,HUBC,00330/0-0026-1964,,,G,,,1
Rhododendron davidsonianum,,unrooted cutting,,,,,,1964-0024.01,3AA8,00345/0-0029-1964,,,G,,,1
Rhododendron davidsonianum,,unrooted cutting,,,,,,1964-0024.03,3AA8,00345/0-0029-1964,,,G,,,1
Rhododendron microgynum,,unrooted cutting,,,,,,1964-0025.01,3AD1,00346/0-0029-1964,,,G,,,2
Rhododendron oreodoxa var. fargesii,,unrooted cutting,,,,,,1966-0038.01,3AH2,00350/0-0030-1966,,,G,,,1
Rhododendron oreodoxa var. fargesii,,unrooted cutting,,,,,,1966-0038.02,3AD9,00350/0-0030-1966,,,G,,,1
Rhododendron oreodoxa var. fargesii,,unrooted cutting,,,,,,1966-0039.02,HUBC,00351/0-0030-1966,,,U,,,1
Rhododendron pseudochrysanthum,,unrooted cutting,,,,,,1966-0040.01,3AA5,00352/0-0031-1966,,,G,,,1
Rhododendron pseudochrysanthum,,unrooted cutting,,,,,,1966-0040.03,3AA5,00352/0-0031-1966,,,G,,,1
Rhododendron argyrophyllum subsp. argyrophyllum,,unrooted cutting,,,,,,1966-0041.01,3AAD,00354/0-0031-1966,,,G,,,1
Rhododendron argyrophyllum subsp. argyrophyllum,,unrooted cutting,,,,,,1966-0041.03,3AA7,00354/0-0031-1966,,,G,,,1
Rhododendron argyrophyllum subsp. argyrophyllum,,unrooted cutting,,,,,,1966-0041.04,3AA7,00354/0-0031-1966,,,G,,,1
Rhododendron argyrophyllum subsp. argyrophyllum,,unrooted cutting,,,,,,1966-0041.05,3AA7,00354/0-0031-1966,,,G,,,1
Rhododendron calophytum,,scion,,,,,,1964-0029.02,3AD8,00364/0-0034-1964,,aff.,G,,,1
Rhododendron davidsonianum 'Ruth Lyons',,unrooted cutting,,,,,,1964-0031.01,3AA8,00366/0-0034-1964,,,G,,,1
Rhododendron fortunei subsp. fortunei,,scion,,,,,,1964-0032.01,3AC6,00367/0-0035-1964,,,G,,,1
Rhododendron cinnabarinum subsp. cinnabarinum,,unrooted cutting,,,,,,1964-0033.02,HUBC,00368/0-0035-1964,,,U,,,1
Rhododendron degronianum subsp. yakushimanum 'Koichiro Wada',,scion,,,,,,1964-0034.04,LAS5,00369/0-0036-1964,,,G,,,2
Rhododendron degronianum subsp. yakushimanum 'Koichiro Wada',,scion,,,,,,1964-0034.05,2A02,00369/0-0036-1964,,,G,,,3
Rhododendron degronianum subsp. yakushimanum 'Koichiro Wada',,scion,,,,,,1964-0034.06,3AE8,00369/0-0036-1964,,,G,,,2
Rhododendron degronianum subsp. yakushimanum 'Koichiro Wada',,scion,,,,,,1964-0034.07,2A04,00369/0-0036-1964,,,G,,,5
Rhododendron degronianum subsp. yakushimanum 'Koichiro Wada',,scion,,,,,,1964-0034.08,3AH6,00369/0-0036-1964,,,G,,,2
Rhododendron degronianum subsp. yakushimanum 'Koichiro Wada',,scion,,,,,,1964-0034.09,3AAA,00369/0-0036-1964,,,G,,,1
Rhododendron forrestii 'Scarlet Runner',,unrooted cutting,,,,,,1964-0035.02,LAS4,00372/0-0036-1964,,,G,,,1
Rhododendron campylogynum Myrtilloides Group,,unrooted cutting,,,,,,1966-0044.01,3AE3,00375/0-0037-1966,,,G,,,6
Rhododendron campylogynum Myrtilloides Group,,unrooted cutting,,,,,,1966-0044.02,3AE3,00375/0-0037-1966,,,G,,,2
Rhododendron campylogynum Myrtilloides Group,,unrooted cutting,,,,,,1966-0044.03,3AE3,00375/0-0037-1966,,,G,,,10
Rhododendron campylogynum Myrtilloides Group,,unrooted cutting,,,,,,1966-0044.04,3AF1,00375/0-0037-1966,,,G,,,1
Rhododendron ciliatum,,unrooted cutting,,,,,,1966-0045.02,HUBC,00376/0-0037-1966,,,U,,,1
Rhododendron cinnabarinum subsp. xanthocodon,,unrooted cutting,,,,,,1966-0046.02,HUBC,00380/0-0037-1966,,,U,,,1
Rhododendron concinnum 'Chief Paulina',,unrooted cutting,,,,,,1964-0036.01,3AA7,00383/0-0038-1964,,,G,,,1
Rhododendron concinnum 'Chief Paulina',,unrooted cutting,,,,,,1964-0036.02,3AB1,00383/0-0038-1964,,,G,,,7
Rhododendron concinnum 'Chief Paulina',,unrooted cutting,,,,,,1964-0036.03,3AB5,00383/0-0038-1964,,,G,,,6
Rhododendron concinnum 'Chief Paulina',,unrooted cutting,,,,,,1964-0036.04,3AB6,00383/0-0038-1964,,,G,,,2
Rhododendron concinnum 'Chief Paulina',,unrooted cutting,,,,,,1964-0036.05,3AA7,00383/0-0038-1964,,,G,,,1
Rhododendron orbiculare subsp. orbiculare,,scion,,,,,,1964-0037.01,3AH4,00385/0-0039-1964,,,G,,,1
Rhododendron orbiculare subsp. orbiculare,,scion,,,,,,1964-0037.02,HUBC,00385/0-0039-1964,,,G,,,1
Rhododendron oreotrephes,,unrooted cutting,,,,,,1964-0038.01,3AE3,00387/0-0027-1964,,,G,,,1
Rhododendron augustinii subsp. chasmanthum 'Blue Cloud',,unrooted cutting,,,,,,1964-0039.01,3AF1,00390/0-0043-1964,,,G,,,1
Rhododendron augustinii subsp. chasmanthum 'Blue Cloud',,unrooted cutting,,,,,,1964-0039.02,3AA8,00390/0-0043-1964,,,G,,,1
Rhododendron augustinii subsp. chasmanthum 'Blue Cloud',,unrooted cutting,,,,,,1964-0039.03,3AE3,00390/0-0043-1964,,,G,,,1
Rhododendron augustinii subsp. augustinii 'Azuriense',,unrooted cutting,,,,,,1964-0040.01,3AF3,00391/0-0044-1964,,,G,,,1
Rhododendron augustinii subsp. augustinii 'Peter Kerr',,unrooted cutting,,,,,,1964-0041.01,3AE7,00392/0-0045-1964,,,G,,,3
Rhododendron augustinii subsp. augustinii 'Peter Kerr',,unrooted cutting,,,,,,1964-0041.02,3AB1,00392/0-0045-1964,,,G,,,1
Rhododendron augustinii subsp. augustinii 'Peter Kerr',,unrooted cutting,,,,,,1964-0041.03,3AF1,00392/0-0045-1964,,,G,,,12
Rhododendron augustinii subsp. augustinii 'Peter Kerr',,unrooted cutting,,,,,,1964-0041.04,3AF2,00392/0-0045-1964,,,G,,,1
Rhododendron augustinii subsp. augustinii 'Peter Kerr',,unrooted cutting,,,,,,1964-0041.05,3AF3,00392/0-0045-1964,,,G,,,1
Rhododendron augustinii subsp. augustinii 'Peter Kerr',,unrooted cutting,,,,,,1964-0041.10,3AC2,00392/0-0045-1964,,,G,,,3
Rhododendron augustinii subsp. augustinii 'Peter Kerr',,unrooted cutting,,,,,,1964-0041.11,3AE3,00392/0-0045-1964,,,G,,,1
Rhododendron campylogynum Leucanthum Group,,unrooted cutting,,,,,,1969-0004.01,3AE3,00419/0-0048-1969,,,G,,,1
Rhododendron ambiguum,,unrooted cutting,,,,,,1969-0005.01,3AD6,00421/0-0001-1969,,,G,,,1
Rhododendron charitopes subsp. charitopes,,unrooted cutting,,,,,,1969-0006.03,3AF1,00429/0-0001-1969,,,G,,,1
Rhododendron charitopes subsp. charitopes,,unrooted cutting,,,,,,1969-0006.04,3AE3,00429/0-0001-1969,,,G,,,1
Rhododendron charitopes subsp. charitopes,,unrooted cutting,,,,,,1969-0006.05,HUBC,00429/0-0001-1969,,,G,,,1
Rhododendron davidsonianum,,unrooted cutting,,,,,,1969-0007.02,3ABB,00433/0-0001-1969,,,G,,,1
Rhododendron fortunei subsp. discolor Houlstonii Group,,unrooted cutting,,,,,,1969-0009.01,3AH4,00443/0-0001-1969,,,G,,,1
Rhododendron insigne,,unrooted cutting,,,,,,1969-0010.03,3AA4,00446/0-0001-1969,,,G,,,1
Rhododendron insigne,,unrooted cutting,,,,,,1969-0010.04,3AA4,00446/0-0001-1969,,,G,,,1
Rhododendron pseudochrysanthum,,unrooted cutting,,,,,,1969-0012.01,3AA5,00469/0-0049-1969,W.10928,,W,,,1
Rhododendron pseudochrysanthum,,unrooted cutting,,,,,,1969-0012.02,3AA5,00469/0-0049-1969,W.10928,,W,,,1
Acer pectinatum subsp. maximowiczii,,plant,,,,,,1969-0014.02,HUBC,00482/0-0050-1969,,,U,,,1
Acer pectinatum subsp. maximowiczii,,plant,,,,,,1969-0014.03,HUBC,00482/0-0050-1969,,,U,,,1
Glyptostrobus pensilis,,plant,,,,,,1970-0001.02,3AE2,00949/0-0083-1970,,,G,,,1
Glyptostrobus pensilis,,plant,,,,,,1970-0001.03,HUBC,00949/0-0083-1970,,,G,,,1
Vaccinium cylindraceum,,plant,,,,,,1970-0004.02,LAF2,00959/0-0083-1970,,,G,,,2
Vaccinium cylindraceum,,plant,,,,,,1970-0004.04,HUBC,00959/0-0083-1970,,,G,,,1
Rhododendron niveum,coll.Sikkim,seed,,,,,India,1970-0005.01,3AA4,00963/0-0050-1970,,,W,,,1
Rhododendron niveum,coll.Sikkim,seed,,,,,India,1970-0005.02,3AA4,00963/0-0050-1970,,,W,,,1
Rhododendron niveum,coll.Sikkim,seed,,,,,India,1970-0005.03,3AA4,00963/0-0050-1970,,,W,,,1
Rhododendron oreotrephes,,unrooted cutting,,,,,,1970-0006.01,3ABB,00984/0-0033-1970,,,G,,,1
Rhododendron orbiculare × R. sp.,,unrooted cutting,,,,,,1970-0007.01,3AH4,01056/0-0033-1970,,?,G,,,1
Clematis terniflora,,unknown,,,,,,1960-0001.01,5,01239/0-5555-1960,,,G,,,1
Houttuynia cordata,,seed,,,,,,1960-0002.01,5,01240/0-0075-1960,,,U,,,1
Rhododendron hanceanum (Nanum Group) 'Canton Consul',,unrooted cutting,,,,,,1970-0023.01,LAS4,01318/0-0021-1970,,,G,,,1
Rhododendron micranthum,,unrooted cutting,,,,,,1976-0021.01,3AB2,01325/1-0026-1976,,,U,,,1
Rhododendron micranthum,,unrooted cutting,,,,,,1976-0021.02,HUBC,01325/1-0026-1976,,,U,,,1
Rhododendron cinnabarinum subsp. cinnabarinum,,unrooted cutting,,,,,,1970-0028.01,3AH2,01335/0-0003-1970,,,G,,,1
Rhododendron cinnabarinum subsp. xanthocodon,,unrooted cutting,,,,,,1970-0029.02,HUBC,01336/0-0003-1970,,,G,,,1
Rhododendron lutescens,,unrooted cutting,,,,,,1970-0030.02,HUBC,01340/0-0003-1970,,,U,large leaved selection,,1
Rhododendron argipeplum,,unrooted cutting,,,,,,1970-0031.01,3AE4,01347/0-0006-1970,L&S.1304,,W,,"Ludlow, F; Sheriff, George",1
Rhododendron annae,,unrooted cutting,,,,,,1970-0034.02,3AD2,01358/0-0095-1970,,aff.,G,,,1
Rhododendron forrestii var. tumescens,,unrooted cutting,,,,,,1970-0035.02,HUBC,01363/0-0095-1970,,,U,,,1
Rhododendron pachytrichum,,unrooted cutting,,,,,,1970-0038.01,3AB8,01377/0-0019-1970,,,G,,,1
Rhododendron charitopes subsp. charitopes,,unrooted cutting,,,,,,1970-0039.01,3AF1,01390/0-0096-1970,,,G,,,1
Rhododendron sperabile var. weihsiense,,unrooted cutting,,,,,,1970-0040.01,3AB4,01400/0-0096-1970,F.26478,,W,,"Forrest, George",1
