TaxonName,Locality,MaterialType,AltitudeFrom,AltitudeTo,CoordLatDD,CoordLongDD,CountryName,ItemAccNoFull,ItemLocationCode,AccNoCons,CollNo,DetType,ProvenanceCode,AtrA_Variant,Collector,ItemSpecCount
Corylopsis gotoana,,plant,,,,,,1979-0020.01,3AB7,17358/0-0013-1979,,,G,,,1
Forsythia giraldiana,,plant,,,,,,1979-0022.02,HUBC,17372/0-0013-1979,,,U,,,1
Hamamelis japonica 'Sulphurea',,plant,,,,,,1979-0024.01,3AB8,17375/0-0013-1979,,,G,,,1
Hamamelis japonica 'Sulphurea',,plant,,,,,,1979-0024.02,HUBC,17375/0-0013-1979,,,G,,,1
Hydrangea heteromalla,,plant,,,,,,1979-0025.01,3AAE,17381/0-0013-1979,,,G,,,1
Hydrangea heteromalla,,plant,,,,,,1979-0025.06,HUBC,17381/0-0013-1979,,,G,,,1
Lonicera nitida 'Fertilis',,plant,,,,,,1979-0027.02,3AD5,17391/0-0013-1979,,,G,,,1
Lonicera nitida 'Fertilis',,plant,,,,,,1979-0027.03,HUBC,17391/0-0013-1979,,,G,,,1
Lonicera rupicola var. syringantha,,plant,,,,,,1979-0028.02,HUBC,17392/0-0013-1979,,,U,,,1
Philadelphus brachybotrys,,plant,,,,,,1979-0029.01,3AD5,17400/0-0013-1979,,,G,,,1
Philadelphus brachybotrys,,plant,,,,,,1979-0029.02,HUBC,17400/0-0013-1979,,,G,,,1
Philadelphus satsumanus,,plant,,,,,,1979-0030.01,3AB7,17401/0-0013-1979,,,G,,,1
Philadelphus satsumanus,,plant,,,,,,1979-0030.02,HUBC,17401/0-0013-1979,,,G,,,1
Photinia villosa f. maximowicziana,,plant,,,,,,1979-0031.01,3AC9,17403/0-0013-1979,,,G,,,1
Pyracantha coccinea 'Lalandei',,plant,,,,,,1979-0035.01,3AE5,17415/0-0013-1979,,,G,,,1
Quercus macranthera,,plant,,,,,,1979-0036.01,3AD9,17417/0-0013-1979,,,G,,,1
Quercus ithaburensis subsp. macrolepis,,plant,,,,,,1979-0037.01,3AS4,17418/0-0013-1979,,,G,,,1
Quercus ithaburensis subsp. macrolepis,,plant,,,,,,1979-0037.02,HUBC,17418/0-0013-1979,,,G,,,1
Sarcococca hookeriana var. digyna 'Purple Stem',,plant,,,,,,1979-0039.01,3AC7,17421/0-0013-1979,,,G,,,1
Sarcococca hookeriana var. digyna 'Purple Stem',,plant,,,,,,1979-0039.04,1P02,17421/0-0013-1979,,,G,,,1
Spiraea wilsonii,,plant,,,,,,1979-0044.01,3ABB,17430/0-0013-1979,,,G,,,1
Neillia tanakae,,plant,,,,,,1979-0046.01,3AE6,17432/0-0013-1979,,,G,,,1
Neillia tanakae,,plant,,,,,,1979-0046.02,HUBC,17432/0-0013-1979,,,G,,,1
Clematis montana 'Alexander',,plant,,,,,,1979-0047.01,3AE8,17445/0-0013-1979,,,G,,,1
Parthenocissus semicordata var. roylei,,plant,,,,,,1979-0048.01,3AH1,17450/0-0013-1979,,,G,,,1
Parthenocissus thomsonii,,plant,,,,,,1979-0050.01,3AD2,17452/0-0013-1979,,,G,,,1
Parthenocissus thomsonii,,plant,,,,,,1979-0050.02,HUBC,17452/0-0013-1979,,,G,,,1
Corylus avellana 'Contorta',,plant,,,,,,1972-0792.02,HUBC,17508/0-0117-1972,,,U,,,1
Rosa elegantula 'Persetosa',,plant,,,,,,1979-0052.01,3AC9,17523/0-0380-1979,,,G,,,1
Rosa elegantula 'Persetosa',,plant,,,,,,1979-0052.02,3AD8,17523/0-0380-1979,,,G,,,1
Rosa willmottiae,,scion,,,,,,1980-0021.05,3AD8,17533/0-0380-1980,,aff.,G,,,1
Marah oregana,near Lime Kiln Point State Park along Dead Man Bay,seed,,,48.513563,-123.146825,United States of America,1978-0762.01,1B38,17589/0-0099-1978,RLT.6549,,W,,"Taylor, Roy Lewis",1
