"ID","TaxonID","Taxon","Trait","Data","Units","DataType","Method","SourceID","Region","Lat","Long","Alt","Accuracy","Comments"
"A15531",6826,"Dianthus charidemi","LeafArea","75","mm2","quantitative","measure","Wright2017","W",36.89,-2.05,111,"High",
"A09750",5832,"Dianthus costae","GrowthForm","perennial forb","[13]","categorical","general reference","Castroviejo1986","U",,,,,
"A08653",5832,"Dianthus costae","SLA","9.83","mm2/mg","quantitative","measure","Bochet2015","W",39.48333,-1.1,680,"High",
"A08970",5832,"Dianthus costae","LDMC","453.58","mg/g","quantitative","measure","Bochet2015","W",39.48333,-1.1,680,"High",
"A08813",5832,"Dianthus costae","SeedMass","0.68","mg","quantitative","measure","Bochet2015","W",39.48333,-1.1,680,"High",
"A08249",5273,"Dianthus cyprius","GrowthForm","subshrub","[13]","categorical","general reference","Consensus2017","U",,,,,
"A06763",5273,"Dianthus cyprius","StemDensity","0.43","gr/cm3","quantitative","measure","Crivellaro2013","M",35.17,33.37,,"Low",
"A04554",2237,"Dianthus hispanicus","GrowthForm","subshrub","[13]","categorical","general reference","Tutin1964","U",,,,,
"E00415",2237,"Dianthus hispanicus","LeafDivision","simple","[2]","categorical","experience","Murcia2008","W",,,,,
"E00416",2237,"Dianthus hispanicus","LeafShape","linear","[7]","categorical","experience","Murcia2008","W",,,,,
"E00414",2237,"Dianthus hispanicus","Height","0.2","m","quantitative","measure","Murcia2008","W",37.59,-1.1,125,"Low",
"E00421",2237,"Dianthus hispanicus","Spinescence","no","[2]","boolean","experience","Murcia2008","W",,,,,
"A03483",2237,"Dianthus hispanicus","Diaspore","seed","[3]","categorical","general reference","Castroviejo1986","U",,,,,
"E00413",2237,"Dianthus hispanicus","FruitType","dry","[2]","categorical","experience","Murcia2008","W",,,,,
"R00315",2237,"Dianthus hispanicus","RespFire","no","[2]","boolean","measure","Buhk2005a","W",37.87,-1.48,,"Low","f.a. less than 30% of post-fire plants were resprouting adults"
"R03083",2237,"Dianthus hispanicus","SeedlEmerg","yes","[2]","boolean","measure","Buhk2005a","W",37.87,-1.48,,"Low",
"A04555",2238,"Dianthus monspessulanus","GrowthForm","perennial forb","[13]","categorical","general reference","Tutin1964","U",,,,,
"A03484",2238,"Dianthus monspessulanus","Diaspore","seed","[3]","categorical","general reference","Castroviejo1986","U",,,,,
"A02440",2238,"Dianthus monspessulanus","FruitType","dry","[2]","categorical","general reference","Tutin1964","U",,,,,
"C01949",2238,"Dianthus monspessulanus","SeedMass","1.03","mg","quantitative","measure","Cerabolini2003","C",,,,,
"C02099",2238,"Dianthus monspessulanus","SoilSeedBank","transient|unk","[7]","semi-quantitative conditional","compilation","Cerabolini2003","C",,,,,
"A04556",2239,"Dianthus seguieri","GrowthForm","perennial forb","[13]","categorical","general reference","Tutin1964","U",,,,,
"A03485",2239,"Dianthus seguieri","Diaspore","seed","[3]","categorical","general reference","Castroviejo1986","U",,,,,
"A02441",2239,"Dianthus seguieri","FruitType","dry","[2]","categorical","general reference","Tutin1964","U",,,,,
"C01950",2239,"Dianthus seguieri","SeedMass","1.69","mg","quantitative","measure","Cerabolini2003","C",,,,,
"C02100",2239,"Dianthus seguieri","SoilSeedBank","transient|unk","[7]","semi-quantitative conditional","compilation","Cerabolini2003","C",,,,,
"A04557",2240,"Dianthus serrulatus ssp. barbatus","GrowthForm","subshrub","[13]","categorical","general reference","Tutin1964","U",,,,,
"A03486",2240,"Dianthus serrulatus ssp. barbatus","Diaspore","seed","[3]","categorical","general reference","Castroviejo1986","U",,,,,
"A02442",2240,"Dianthus serrulatus ssp. barbatus","FruitType","dry","[2]","categorical","general reference","Tutin1964","U",,,,,
"R01043",2240,"Dianthus serrulatus ssp. barbatus","RespFire","yes","[2]","boolean","measure","Abad1996","W",39.5,-0.75,,"Low",
"R03745",2240,"Dianthus serrulatus ssp. barbatus","SeedlEmerg","no","[2]","boolean","measure","Abad1996","W",39.5,-0.75,,"Low","f.a. seedling emergence detected only 18 mth after resprouting"
"A04558",3306,"Dianthus strictus","GrowthForm","perennial forb","[13]","categorical","general reference","Tutin1964","U",,,,,
"A03487",3306,"Dianthus strictus","Diaspore","seed","[3]","categorical","general reference","Castroviejo1986","U",,,,,
"A02443",3306,"Dianthus strictus","FruitType","dry","[2]","categorical","general reference","Tutin1964","U",,,,,
"E05450",3306,"Dianthus strictus","RespFire","yes","[2]","boolean","experience","Turkmen2005","M",37.35,35.17,530,"High",
"A04559",2241,"Dianthus sylvestris","GrowthForm","perennial forb","[13]","categorical","general reference","Tutin1964","U",,,,,
"A03488",2241,"Dianthus sylvestris","Diaspore","seed","[3]","categorical","general reference","Castroviejo1986","U",,,,,
"A02444",2241,"Dianthus sylvestris","FruitType","dry","[2]","categorical","general reference","Tutin1964","U",,,,,
"C01951",2241,"Dianthus sylvestris","SeedMass","0.42","mg","quantitative","measure","Cerabolini2003","C",,,,,
"C02101",2241,"Dianthus sylvestris","SoilSeedBank","transient|unk","[7]","semi-quantitative conditional","compilation","Cerabolini2003","C",,,,,
"A11759",6467,"Dianthus xylorrhizus","GrowthForm","subshrub","[13]","categorical","general reference","Consensus2017","U",,,,,
"A11566",6467,"Dianthus xylorrhizus","Height","0.15","m","quantitative","measure","Carta2017","E",35.21,24.91,,"Low",
"A11567",6467,"Dianthus xylorrhizus","SeedMass","2.03","mg","quantitative","measure","Carta2017","E",35.21,24.91,,"Low",
"A11568",6467,"Dianthus xylorrhizus","OtherCues","unaffected|lgt","[3]","semi-quantitative conditional","measure","Carta2017","E",35.21,24.91,,"Low",
"A04560",1708,"Dianthus zonatus var. zonatus","GrowthForm","perennial forb","[13]","categorical","general reference","Davis1965","U",,,,,
"A03489",1708,"Dianthus zonatus var. zonatus","Diaspore","seed","[3]","categorical","general reference","Castroviejo1986","U",,,,,
"A02445",1708,"Dianthus zonatus var. zonatus","FruitType","dry","[2]","categorical","general reference","Tutin1964","U",,,,,
"E05452",1708,"Dianthus zonatus var. zonatus","RespFire","no","[2]","boolean","experience","Marmaris2008","M",36.88,28.23,,"Mod",
"A13607",6639,"Gymnocarpos decandrus","GrowthForm","subshrub","[13]","categorical","general reference","Consensus2017","S",,,,,
"A13591",6639,"Gymnocarpos decandrus","BudSource","thickened root-crown","[13]","categorical","experience","VanDuivenbooden1993","S",30.75,29.2,85,"High",
"A13199",6538,"Gypsophila pilosa","GrowthForm","annual forb","[13]","categorical","general reference","Consensus2017","U",,,,,""
"A13131",6538,"Gypsophila pilosa","SeedMass","2.48","mg","quantitative","measure","Tavsanoglu2015","M",39.87,32.72,1025,"High",""
"A13169",6538,"Gypsophila pilosa","ChemCues","unaffected|smk","[3]","semi-quantitative conditional","measure","Tavsanoglu2015","M",39.87,32.72,1025,"High","f.c. Only one smoke concentration was used"
"A13151",6538,"Gypsophila pilosa","HeatStimGerm","unaffected|LM_","[5]","semi-quantitative conditional","measure","Tavsanoglu2015","M",39.87,32.72,1025,"High",""
"A04735",2424,"Gypsophila struthium ssp. hispanica","GrowthForm","subshrub","[13]","categorical","general reference","Tutin1964","U",,,,,
"A03839",2424,"Gypsophila struthium ssp. hispanica","LeafDivision","simple","[2]","categorical","general reference","Castroviejo1986","U",,,,,
"A07073",2424,"Gypsophila struthium ssp. hispanica","LeafLifespan","7","months","quantitative","measure","VillarSalvador2000","W",,,,,"f.c. data from phenomorphologic herbarium of IPE-CSIC"
"A03705",2424,"Gypsophila struthium ssp. hispanica","LeafShape","linear","[7]","categorical","general reference","Castroviejo1986","U",,,,,
"A07000",2424,"Gypsophila struthium ssp. hispanica","LNCm","14.15","mg/g","quantitative","measure","VillarSalvador2000","W",,,,,"f.a. Sampling: spring-summer"
"A13778",2424,"Gypsophila struthium ssp. hispanica","Height","1.3","m","quantitative","measure","Palacio2017","W",41.63,-0.69,320,"High",
"A13768",2424,"Gypsophila struthium ssp. hispanica","RootDepth","3","m","quantitative","compilation","Palacio2017","W",40,-4,,"VLow",
"C08022",2424,"Gypsophila struthium ssp. hispanica","RootDepth","1.86","m","quantitative","measure","GuerreroCampo2006","W",42.11,-1.32,,"Low","f.a. maximum rooting depth"
"A03530",2424,"Gypsophila struthium ssp. hispanica","Diaspore","seed","[3]","categorical","general reference","Castroviejo1986","U",,,,,
"A02446",2424,"Gypsophila struthium ssp. hispanica","FruitType","dry","[2]","categorical","general reference","Tutin1964","U",,,,,
"A04778",2470,"Herniaria fruticosa","GrowthForm","subshrub","[13]","categorical","general reference","Tutin1964","U",,,,,
"A03840",2470,"Herniaria fruticosa","LeafDivision","simple","[2]","categorical","general reference","Castroviejo1986","U",,,,,
"A07084",2470,"Herniaria fruticosa","LeafLifespan","10","months","quantitative","measure","VillarSalvador2000","W",,,,,"f.c. data from phenomorphologic herbarium of IPE-CSIC"
"A03706",2470,"Herniaria fruticosa","LeafShape","broad","[7]","categorical","general reference","Castroviejo1986","U",,,,,
"A14115",2470,"Herniaria fruticosa","LeafArea","0.8","mm2","quantitative","measure","Crevillent2017","W",38.27,-0.84,,"Mod",
"A07007",2470,"Herniaria fruticosa","LNCm","16.25","mg/g","quantitative","measure","VillarSalvador2000","W",,,,,"f.a. Sampling: spring-summer"
"A14356",2470,"Herniaria fruticosa","SLA","12.042","mm2/mg","quantitative","measure","Crevillent2017","W",38.27,-0.84,,"Mod",
"A13896",2470,"Herniaria fruticosa","Height","0.0892","m","quantitative","measure","Crevillent2017","W",38.27,-0.84,,"Mod",
"A14598",2470,"Herniaria fruticosa","RootDepth","0.1064","m","quantitative","measure","Crevillent2017","W",38.27,-0.84,,"Mod",
"C08033",2470,"Herniaria fruticosa","RootDepth","0.62","m","quantitative","measure","GuerreroCampo2006","W",42.11,-1.32,,"Low","f.a. maximum rooting depth"
"A14827",2470,"Herniaria fruticosa","DispMode","G","[9]","categorical","general reference","Consensus2017","U",,,,,
"A03561",2470,"Herniaria fruticosa","Diaspore","seed","[3]","categorical","general reference","Castroviejo1986","U",,,,,
"A02447",2470,"Herniaria fruticosa","FruitType","dry","[2]","categorical","general reference","Tutin1964","U",,,,,
"A13078",2470,"Herniaria fruticosa","BudSource","roots","[13]","categorical","measure","GuerreroCampo2006","W",42.11,-1.32,,"Low",
"A04779",2471,"Herniaria glabra","GrowthForm","annual forb","[13]","categorical","general reference","Tutin1964","U",,,,,
"A03841",2471,"Herniaria glabra","LeafDivision","simple","[2]","categorical","general reference","Castroviejo1986","U",,,,,
"A03707",2471,"Herniaria glabra","LeafShape","broad","[7]","categorical","general reference","Castroviejo1986","U",,,,,
"A06119",2471,"Herniaria glabra","DispMode","G","[9]","categorical","compilation","Consensus2017","U",,,,,
"A03562",2471,"Herniaria glabra","Diaspore","seed","[3]","categorical","general reference","Castroviejo1986","U",,,,,
"A02448",2471,"Herniaria glabra","FruitType","dry","[2]","categorical","general reference","Tutin1964","U",,,,,
"C02470",2471,"Herniaria glabra","RespFire","no","[2]","boolean","compilation","Valbuena2001","W",42.83,-5.48,1220,"High",
"C02520",2471,"Herniaria glabra","SeedlEmerg","yes","[2]","boolean","compilation","Valbuena2001","W",42.83,-5.48,1220,"High",
"A04781",2472,"Herniaria hirsuta","GrowthForm","perennial forb","[13]","categorical","general reference","Tutin1964","U",,,,,
"A03843",2472,"Herniaria hirsuta","LeafDivision","simple","[2]","categorical","general reference","Castroviejo1986","U",,,,,
"A03709",2472,"Herniaria hirsuta","LeafShape","broad","[7]","categorical","general reference","Castroviejo1986","U",,,,,
"A08704",2472,"Herniaria hirsuta","SLA","19.1","mm2/mg","quantitative","measure","Bochet2015","W",39.48333,-1.1,680,"High",
"A09019",2472,"Herniaria hirsuta","LDMC","195.67","mg/g","quantitative","measure","Bochet2015","W",39.48333,-1.1,680,"High",
"A03564",2472,"Herniaria hirsuta","Diaspore","seed","[3]","categorical","general reference","Castroviejo1986","U",,,,,
"A02450",2472,"Herniaria hirsuta","FruitType","dry","[2]","categorical","general reference","Tutin1964","U",,,,,
"C08388",2472,"Herniaria hirsuta","SeedMass","0.05","mg","quantitative","measure","Azcarate2002","W",40.63,-4.17,800,"High",
"A08867",2472,"Herniaria hirsuta","SeedMass","0.07","mg","quantitative","measure","Bochet2015","W",39.48333,-1.1,680,"High",
"C08286",2472,"Herniaria hirsuta","SoilSeedBank","persistent|veg","[7]","semi-quantitative conditional","measure","Peco2003","W",40.67,-4.09,800,"Mod",
"A04780",2469,"Herniaria hirsuta ssp. cinerea","GrowthForm","annual forb","[13]","categorical","general reference","Davis1965","U",,,,,
"A03842",2469,"Herniaria hirsuta ssp. cinerea","LeafDivision","simple","[2]","categorical","general reference","Castroviejo1986","U",,,,,
"A03708",2469,"Herniaria hirsuta ssp. cinerea","LeafShape","broad","[7]","categorical","general reference","Castroviejo1986","U",,,,,
"A14114",2469,"Herniaria hirsuta ssp. cinerea","LeafArea","2.36","mm2","quantitative","measure","NavarroCano2017b","W",40.17,-0.17,,"Low",
"A14355",2469,"Herniaria hirsuta ssp. cinerea","SLA","11.938","mm2/mg","quantitative","measure","NavarroCano2017b","W",40.17,-0.17,,"Low",
"A13895",2469,"Herniaria hirsuta ssp. cinerea","Height","0.0283","m","quantitative","measure","NavarroCano2017b","W",40.17,-0.17,,"Low",
"A14597",2469,"Herniaria hirsuta ssp. cinerea","RootDepth","0.021","m","quantitative","measure","NavarroCano2017b","W",40.17,-0.17,,"Low",
"A14826",2469,"Herniaria hirsuta ssp. cinerea","DispMode","B","[9]","categorical","general reference","Consensus2017","U",,,,,
"A03563",2469,"Herniaria hirsuta ssp. cinerea","Diaspore","seed","[3]","categorical","general reference","Castroviejo1986","U",,,,,
"A02449",2469,"Herniaria hirsuta ssp. cinerea","FruitType","dry","[2]","categorical","general reference","Tutin1964","U",,,,,
"A01155",2469,"Herniaria hirsuta ssp. cinerea","ChemCues","unaffected|smk","[3]","semi-quantitative conditional","measure","Tormo2014","W",39.4,-0.43,450,"Low","f.c. field experiment"
"C03453",2469,"Herniaria hirsuta ssp. cinerea","SeedlEmerg","yes","[2]","boolean","measure","Ferrandis1996a","W",38.74,-2.19,700,"Low",
"A11190",6233,"Holosteum umbellatum","GrowthForm","annual forb","[13]","categorical","general reference","Consensus2017","U",,,,,
"A16554",6233,"Holosteum umbellatum","NutritionalRelat","no","[8]","categorical","compilation","Correia2018","U",,,,,
"A16555",6233,"Holosteum umbellatum","DispMode","G","[9]","categorical","compilation","Correia2018","U",,,,,
"A10929",6233,"Holosteum umbellatum","SeedlEmerg","high","[2]","semi-quantitative","measure","Ergan2017","M",37.07,27.96,280,"Mod",
"A04988",2682,"Minuartia hybrida","GrowthForm","annual forb","[13]","categorical","general reference","Tutin1964","U",,,,,
"A12616",2682,"Minuartia hybrida","LeafShape","linear","[7]","categorical","general reference","Davis1965","U",,,,,
"A16754",2682,"Minuartia hybrida","NutritionalRelat","endomycorrhizal symbiosis","[8]","categorical","compilation","Correia2018","U",,,,,
"A17526",2682,"Minuartia hybrida","DispMode","ZG","[9]","categorical","compilation","Consensus2017","U",,,,,
"A03593",2682,"Minuartia hybrida","Diaspore","seed","[3]","categorical","general reference","Castroviejo1986","U",,,,,
"A02451",2682,"Minuartia hybrida","FruitType","dry","[2]","categorical","general reference","Tutin1964","U",,,,,
"R00245",2682,"Minuartia hybrida","RespFire","no","[2]","boolean","experience","Trabaud1992","W",43.69,3.82,110,"High",
"R03013",2682,"Minuartia hybrida","SeedlEmerg","yes","[2]","boolean","experience","Trabaud1992","W",43.69,3.82,110,"High",
"C03436",2682,"Minuartia hybrida","SeedlEmerg","no","[2]","boolean","measure","Ferrandis1996a","W",38.74,-2.19,700,"Low","f.a. post-fire seedlings were not recorded 8 mths after fire"
"A10930",2682,"Minuartia hybrida","SeedlEmerg","high","[2]","semi-quantitative","measure","Ergan2017","M",37.07,27.96,280,"Mod",
"A05658",4439,"Minuartia recurva ssp. bigerrensis","GrowthForm","perennial forb","[13]","categorical","general reference","Castroviejo1986","U",,,,,
"A00976",4439,"Minuartia recurva ssp. bigerrensis","SeedMass","0.252","mg","quantitative","measure","GimenezBenavides2005","W",40.82,-3.93,2232,"Low",
"A04989",2681,"Minuartia verna ssp. attica","GrowthForm","perennial forb","[13]","categorical","general reference","Tutin1964","U",,,,,
"A03844",2681,"Minuartia verna ssp. attica","LeafDivision","simple","[2]","categorical","general reference","Castroviejo1986","U",,,,,
"A03710",2681,"Minuartia verna ssp. attica","LeafShape","linear","[7]","categorical","general reference","Castroviejo1986","U",,,,,
"A03594",2681,"Minuartia verna ssp. attica","Diaspore","seed","[3]","categorical","general reference","Castroviejo1986","U",,,,,
"A02452",2681,"Minuartia verna ssp. attica","FruitType","dry","[2]","categorical","general reference","Tutin1964","U",,,,,
"R00677",2681,"Minuartia verna ssp. attica","RespFire","no","[2]","boolean","compilation","Kazanis2004a","E",38.42,23.54,,"Low",
"C06279",2681,"Minuartia verna ssp. attica","SoilSeedBank","persistent|unk","[7]","semi-quantitative conditional","compilation","Kazanis2004a","E",38.42,23.54,,"Low",
"R03382",2681,"Minuartia verna ssp. attica","SeedlEmerg","yes","[2]","boolean","compilation","Kazanis2004a","E",38.42,23.54,,"Low",
"A11761",6469,"Minuartia wettsteinii","GrowthForm","perennial forb","[13]","categorical","general reference","Consensus2017","U",,,,,
"A11569",6469,"Minuartia wettsteinii","Height","0.15","m","quantitative","measure","Carta2017","E",35.21,24.91,,"Low",
"A11570",6469,"Minuartia wettsteinii","SeedMass","1.42","mg","quantitative","measure","Carta2017","E",35.21,24.91,,"Low",
"A11571",6469,"Minuartia wettsteinii","OtherCues","unaffected|lgt","[3]","semi-quantitative conditional","measure","Carta2017","E",35.21,24.91,,"Low",
"A05786",4748,"Moehringia tejedensis","GrowthForm","perennial forb","[13]","categorical","general reference","Lorite2007","U",,,,,
"A01304",4748,"Moehringia tejedensis","SeedMass","0.08","mg","quantitative","measure","Lorite2007","W",37,-3,,"Low",
"A04991",2684,"Moenchia erecta","GrowthForm","annual forb","[13]","categorical","general reference","Tutin1964","U",,,,,
"A03845",2684,"Moenchia erecta","LeafDivision","simple","[2]","categorical","general reference","Castroviejo1986","U",,,,,
"A03711",2684,"Moenchia erecta","LeafShape","broad","[7]","categorical","general reference","Castroviejo1986","U",,,,,
"A03596",2684,"Moenchia erecta","Diaspore","seed","[3]","categorical","general reference","Castroviejo1986","U",,,,,
"A02453",2684,"Moenchia erecta","FruitType","dry","[2]","categorical","general reference","Tutin1964","U",,,,,
"C08397",2684,"Moenchia erecta","SeedMass","0.04","mg","quantitative","measure","Azcarate2002","W",40.63,-4.17,800,"High",
"C08295",2684,"Moenchia erecta","SoilSeedBank","persistent|veg","[7]","semi-quantitative conditional","measure","Peco2003","W",40.67,-4.09,800,"Mod",
"A05062",2766,"Paronychia argentea","GrowthForm","perennial forb","[13]","categorical","general reference","Tutin1964","U",,,,,
"C00706",2766,"Paronychia argentea","LeafDivision","simple","[2]","categorical","experience","Valencia2008","W",,,,,
"C00562",2766,"Paronychia argentea","LeafPhenology","evergreen","[4]","categorical","experience","Valencia2008","W",,,,,
"C00801",2766,"Paronychia argentea","LeafShape","broad","[7]","categorical","experience","Valencia2008","W",,,,,
"C00896",2766,"Paronychia argentea","LeafArea","very small","[5]","semi-quantitative","experience","Valencia2008","W",39.5,-0.75,,"Low",
"A14161",2766,"Paronychia argentea","LeafArea","14.34","mm2","quantitative","measure","Cartagena2017","W",37.6,-0.88,,"Mod",
"A14403",2766,"Paronychia argentea","SLA","16.129","mm2/mg","quantitative","measure","Cartagena2017","W",37.6,-0.88,,"Mod",
"A09069",2766,"Paronychia argentea","SLA","15.23","mm2/mg","quantitative","measure","Bochet2015","W",39.48333,-1.1,680,"High",
"C00250",2766,"Paronychia argentea","Height","0.4","m","quantitative","general reference","Mateo1990","W",,,,,
"A13937",2766,"Paronychia argentea","Height","0.105","m","quantitative","measure","Cartagena2017","W",37.6,-0.88,,"Mod",
"A09297",2766,"Paronychia argentea","LDMC","222.52","mg/g","quantitative","measure","Bochet2015","W",39.48333,-1.1,680,"High",
"A10693",2766,"Paronychia argentea","NutritionalRelat","ectomycorrhizal symbiosis","[8]","categorical","measure","Cakan2006","M",36.68,35.1,,"Low",
"A14642",2766,"Paronychia argentea","RootDepth","0.066","m","quantitative","measure","Cartagena2017","W",37.6,-0.88,,"Mod",
"C00477",2766,"Paronychia argentea","Spinescence","no","[2]","boolean","experience","Valencia2008","W",,,,,
"A14878",2766,"Paronychia argentea","DispMode","W","[9]","categorical","general reference","Consensus2017","U",,,,,
"A03600",2766,"Paronychia argentea","Diaspore","seed","[3]","categorical","general reference","Castroviejo1986","U",,,,,
"C01341",2766,"Paronychia argentea","FruitType","dry","[2]","categorical","experience","Valencia2008","W",,,,,
"A09180",2766,"Paronychia argentea","SeedMass","0.62","mg","quantitative","measure","Bochet2015","W",39.48333,-1.1,680,"High",
"R00532",2766,"Paronychia argentea","RespFire","yes","[2]","boolean","measure","Caturla2000","W",38.5,-0.5,320,"High",
"A05063",2767,"Paronychia capitata","GrowthForm","perennial forb","[13]","categorical","general reference","Tutin1964","U",,,,,
"E04242",2767,"Paronychia capitata","LeafDivision","simple","[2]","categorical","general reference","Valdes1987","W",,,,,
"E04297",2767,"Paronychia capitata","LeafPhenology","evergreen","[4]","categorical","general reference","Valdes1987","W",,,,,
"E04336",2767,"Paronychia capitata","LeafShape","broad","[7]","categorical","general reference","Valdes1987","W",,,,,
"E04391",2767,"Paronychia capitata","LeafArea","very small","[5]","semi-quantitative","measure","Cuenca2008","W",39.8,-1.4,,"Mod",
"A09070",2767,"Paronychia capitata","SLA","13.07","mm2/mg","quantitative","measure","Bochet2015","W",39.48333,-1.1,680,"High",
"E04187",2767,"Paronychia capitata","Height","0.15","m","quantitative","general reference","Bolos1984","W",,,,,
"A09298",2767,"Paronychia capitata","LDMC","247.67","mg/g","quantitative","measure","Bochet2015","W",39.48333,-1.1,680,"High",
"E03996",2767,"Paronychia capitata","Clonality","stolons","[5]","categorical","experience","MAFHerbarium2008","U",,,,,
"E04500",2767,"Paronychia capitata","Lifespan","medium","[5]","semi-quantitative","general reference","Valdes1987","W",37.5,-5.77,,"Low",
"E04839",2767,"Paronychia capitata","Spinescence","no","[2]","boolean","experience","MAFHerbarium2008","U",,,,,
"E04051",2767,"Paronychia capitata","DispMode","G","[9]","categorical","general reference","Bolos1984","W",,,,,
"A03601",2767,"Paronychia capitata","Diaspore","seed","[3]","categorical","general reference","Castroviejo1986","U",,,,,
"E04105",2767,"Paronychia capitata","FruitType","dry","[2]","categorical","general reference","Valdes1987","W",,,,,
"A09181",2767,"Paronychia capitata","SeedMass","0.55","mg","quantitative","measure","Bochet2015","W",39.48333,-1.1,680,"High",
"E04788",2767,"Paronychia capitata","SeedMass","0.42","mg","quantitative","measure","Cuenca2008","W",39.8,-1.4,,"Mod",
"E04704",2767,"Paronychia capitata","SeedProd","medium","[4]","semi-quantitative","measure","Cuenca2008","W",39.8,-1.4,,"Mod",
"E04740",2767,"Paronychia capitata","SeedShape","1.36","(ratio)","quantitative","measure","Cuenca2008","W",39.8,-1.4,,"Mod",
"C07606",2767,"Paronychia capitata","RespFire","no","[2]","boolean","measure","Luna2007a","W",39.8,-1.5,,"Mod",
"S00472",2767,"Paronychia capitata","HeatStimGerm","unaffected|_MH","[5]","semi-quantitative conditional","measure","Luna2007a","W",39.8,-1.5,,"Mod",
"A05064",2768,"Paronychia kapela ssp. serpyllifolia","GrowthForm","subshrub","[13]","categorical","general reference","Tutin1964","U",,,,,
"A03846",2768,"Paronychia kapela ssp. serpyllifolia","LeafDivision","simple","[2]","categorical","general reference","Castroviejo1986","U",,,,,
"A03712",2768,"Paronychia kapela ssp. serpyllifolia","LeafShape","broad","[7]","categorical","general reference","Castroviejo1986","U",,,,,
"C08058",2768,"Paronychia kapela ssp. serpyllifolia","RootDepth","0.32","m","quantitative","measure","GuerreroCampo2006","W",42.11,-1.32,,"Low","f.a. maximum rooting depth"
"A03602",2768,"Paronychia kapela ssp. serpyllifolia","Diaspore","seed","[3]","categorical","general reference","Castroviejo1986","U",,,,,
"A02454",2768,"Paronychia kapela ssp. serpyllifolia","FruitType","dry","[2]","categorical","general reference","Tutin1964","U",,,,,
"A05065",2769,"Paronychia suffruticosa","GrowthForm","subshrub","[13]","categorical","general reference","Tutin1964","U",,,,,
"A03847",2769,"Paronychia suffruticosa","LeafDivision","simple","[2]","categorical","general reference","Castroviejo1986","U",,,,,
"E00434",2769,"Paronychia suffruticosa","LeafPhenology","evergreen","[4]","categorical","experience","Murcia2008","W",,,,,
"A03713",2769,"Paronychia suffruticosa","LeafShape","broad","[7]","categorical","general reference","Castroviejo1986","U",,,,,
"A15581",2769,"Paronychia suffruticosa","LeafArea","75","mm2","quantitative","measure","Wright2017","W",36.89,-2.05,111,"High",
"A14162",2769,"Paronychia suffruticosa","LeafArea","23.16","mm2","quantitative","measure","Cartagena2017","W",37.6,-0.88,,"Mod",
"A14404",2769,"Paronychia suffruticosa","SLA","7.084","mm2/mg","quantitative","measure","Cartagena2017","W",37.6,-0.88,,"Mod",
"A13938",2769,"Paronychia suffruticosa","Height","0.249","m","quantitative","measure","Cartagena2017","W",37.6,-0.88,,"Mod",
"E00432",2769,"Paronychia suffruticosa","Height","0.25","m","quantitative","measure","Murcia2008","W",37.59,-1.1,125,"Low",
"A14643",2769,"Paronychia suffruticosa","RootDepth","0.212","m","quantitative","measure","Cartagena2017","W",37.6,-0.88,,"Mod",
"E00440",2769,"Paronychia suffruticosa","Spinescence","no","[2]","boolean","experience","Murcia2008","W",,,,,
"A14879",2769,"Paronychia suffruticosa","DispMode","P","[9]","categorical","general reference","Consensus2017","U",,,,,
"A03603",2769,"Paronychia suffruticosa","Diaspore","seed","[3]","categorical","general reference","Castroviejo1986","U",,,,,
"E00431",2769,"Paronychia suffruticosa","FruitType","dry","[2]","categorical","experience","Murcia2008","W",,,,,
"R00317",2769,"Paronychia suffruticosa","RespFire","yes","[2]","boolean","measure","Buhk2005a","W",37.87,-1.48,,"Low","f.a. resprouting adults constituted 30-70% of post-fire plants"
"C02657",2769,"Paronychia suffruticosa","SoilSeedBank","transient|veg","[7]","semi-quantitative conditional","measure","Buhk2005b","W",37.87,-1.48,,"Low",
"R03085",2769,"Paronychia suffruticosa","SeedlEmerg","yes","[2]","boolean","measure","Buhk2005a","W",37.87,-1.48,,"Low","f.a. seedlings constituted 30-70% of post-fire plants"
"E00439",2769,"Paronychia suffruticosa","SeedlEmerg","low","[2]","semi-quantitative","measure","Murcia2008","W",37.59,-1.1,125,"Low",
"A05747",4653,"Petrorhagia nanteuilii","GrowthForm","annual forb","[13]","categorical","general reference","Castroviejo1986","U",,,,,
"A01214",4653,"Petrorhagia nanteuilii","SeedlEmerg","yes","[2]","boolean","experience","Cespedes2014b","W",38.05,-4.716667,550,"High",
"A05070",2775,"Petrorhagia prolifera","GrowthForm","annual forb","[13]","categorical","general reference","Tutin1964","U",,,,,
"A03848",2775,"Petrorhagia prolifera","LeafDivision","simple","[2]","categorical","general reference","Castroviejo1986","U",,,,,
"A03714",2775,"Petrorhagia prolifera","LeafShape","linear","[7]","categorical","general reference","Castroviejo1986","U",,,,,
"A09071",2775,"Petrorhagia prolifera","SLA","13.24","mm2/mg","quantitative","measure","Bochet2015","W",39.48333,-1.1,680,"High",
"A09299",2775,"Petrorhagia prolifera","LDMC","252.95","mg/g","quantitative","measure","Bochet2015","W",39.48333,-1.1,680,"High",
"A03605",2775,"Petrorhagia prolifera","Diaspore","seed","[3]","categorical","general reference","Castroviejo1986","U",,,,,
"A02455",2775,"Petrorhagia prolifera","FruitType","dry","[2]","categorical","general reference","Tutin1964","U",,,,,
"A09182",2775,"Petrorhagia prolifera","SeedMass","0.33","mg","quantitative","measure","Bochet2015","W",39.48333,-1.1,680,"High",
