"","NAME","COMMON.NAME","FAMILY","NATIVITY","HABIT","LOCATION.and.QUANTITY","ACCN.."
"8219","Pinus palustris","longleaf pine","Pinaceae","E USA (SE Virginia to Texas)","TC","NURS (2)                                                 ","2011-0066"
"8283","Platanus orientalis","Oriental plane","Platanaceae","SE Europe to Asia Minor","TD","32T (1)                                                 ","1991-0434"
"8355","Polemonium pulcherrimum","showy Jacob's-ladder","Polemoniaceae","Ala to Calif, Nev & Wyo","HD","24A (1)                                                 ","1999-0123"
"8356","Polemonium pulcherrimum","showy Jacob's-ladder","Polemoniaceae","Ala to Calif, Nev & Wyo","HD","24E (5)                                                 ","2002-0045"
"8359","Polygala chamaebuxus","shrubby milkwort","Polygalaceae","C Europe to Italy","SE","NURS (1)                                                 ","2010-0235"
"8360","Polygala chamaebuxus","shrubby milkwort","Polygalaceae","C Europe to Italy","SE","32 (4)                                                 ","1973-0660"
"8382","Polypodium vulgare","wall fern","Polypodiaceae","N Hemisphere","HE","NURS (1), 32 (10)","2017-0288"
"8383","Polypodium vulgare","wall fern","Polypodiaceae","N Hemisphere","HE","135C (3)                                                 ","1995-0659"
"8385","Polystichum acrostichoides","Christmas fern","Dryopteridaceae","Eastern North America","HE","10 (30)                                                 ","2015-0153"
"8386","Polystichum acrostichoides","Christmas fern","Dryopteridaceae","Eastern North America","HE","90A (3), 48S (13)","2002-0343"
"8387","Polystichum acrostichoides","Christmas fern","Dryopteridaceae","Eastern North America","HE","90A (1), 46C (1)","1997-0659"
"8388","Polystichum acrostichoides","Christmas fern","Dryopteridaceae","Eastern North America","HE","117 (1)                                                 ","1990-0461"
"8389","Polystichum acrostichoides","Christmas fern","Dryopteridaceae","Eastern North America","HE","46B (4)                                                 ","2004-0168"
"8390","Polystichum acrostichoides","Christmas fern","Dryopteridaceae","Eastern North America","HE","66A (5), 49C (8)","2009-0102"
"8865","Quercus montana","basket oak, chestnut oak","Fagaceae","Del to Fla & Texas","TD","46B (1), 45A (1)","1973-0118"
"8940","Rhodocoma capensis","Cape restio","Restionaceae","South Africa (W & E Cape)","HE","NURS (3)                                                 ","2009-0391"
"9260","Rhododendron campylocarpum"," ","Ericaceae","Himalayas","SE","123 (1)                                                 ","1980-0192"
"9261","Rhododendron campylocarpum"," ","Ericaceae","Himalayas","SE","139 (1)                                                 ","1974-0514"
"9262","Rhododendron campylocarpum"," ","Ericaceae","Himalayas","SE","124 (1)                                                 ","1982-0467"
"9263","Rhododendron campylocarpum"," ","Ericaceae","Himalayas","SE","123 (3)                                                 ","1982-0008"
"9264","Rhododendron campylocarpum"," ","Ericaceae","Himalayas","SE","85A (1)                                                 ","1981-0430"
"9265","Rhododendron campylocarpum"," ","Ericaceae","Himalayas","SE","121 (1)                                                 ","1983-0167"
"9820","Rhododendron ovatum"," ","Ericaceae","C&S China; Myanmar","SE","120 (1)                                                 ","1991-0236"
"9821","Rhododendron ovatum"," ","Ericaceae","C&S China; Myanmar","SE","136 (1)                                                 ","1982-0450"
"10074","Rhododendron trichocladum"," ","Ericaceae","Myanmar, Tibet & Yunnan","SE","122 (1)                                                 ","1982-0057"
"10075","Rhododendron trichocladum"," ","Ericaceae","Myanmar, Tibet & Yunnan","SE","NURS (1), 122 (3)","1982-0096"
"10076","Rhododendron trichocladum"," ","Ericaceae","Myanmar, Tibet & Yunnan","SE","122 (6)                                                 ","1981-0394"
"10077","Rhododendron trichocladum"," ","Ericaceae","Myanmar, Tibet & Yunnan","SE","121C (2), 122 (1)","1982-0094"
"10236","Rhus glabra","smooth sumac","Anacardiaceae","BC to Mex; Ont to Ga","TD","22A (4)                                                 ","1976-0170"
"10237","Rhus glabra","smooth sumac","Anacardiaceae","BC to Mex; Ont to Ga","TD","4 (3)                                                 ","2011-0287"
"10815","Sarracenia minor","hooded pitcher plant","Sarraceniaceae","Southeastern USA (South Carolina to Florida)","HD","37A (6)                                                 ","2005-0075"
"10952","Scirpus microcarpus","panicled or smallflower bulrush","Cyperaceae","North America","HE","NURS (20)                                                 ","2016-0286"
"11195","Solanum pyracanthum","devil's thorn","Solanaceae","Africa & Madagascar","HE","SEAS (3)                                                 ","2008-0413"
"11371","Strelitzia nicolai","giant bird-of-paradise","Strelitziaceae","Afr (Natal & NE Cape)","HE","SEAS (1)                                                 ","2001-0327"
"11396","Symphoricarpos mollis","western snowberry","Caprifoliaceae","BC to Calif, e to Nev & Ida","SD","135C (3)                                                 ","1995-0445"
"11442","Syringa oblata","lilac","Oleaceae","China","SD","140 (1)                                                 ","1999-0500"
"11573","Thalia dealbata","hardy water canna","Marantaceae","SC to Fla, Mo & Tex; Mex","W","SEAS (3)                                                 ","2005-0054"
"11599","Thuja koraiensis","Korean arborvitae","Cupressaceae","Korea & NE China","TC","136 (1)                                                 ","1989-0042"
"11701","Tibouchina urvilleana","princessflower","Melastomataceae","Brazil","SE","SEAS (1)                                                 ","1980-0900"
"11702","Tibouchina urvilleana","princessflower","Melastomataceae","Brazil","SE","SEAS (4)                                                 ","1975-0479"
"11820","Tripterygium regelii"," ","Celastraceae","N China, Japan & Korea","SD","127B (1), 121C (1)","1996-0737"
"11856","Tropaeolum tricolor","solidado rojo, cornucopia nasturtium","Tropaeolaceae","Boliv & Chile","HD","NURS                                                  ","2008-0145"
"11957","Turbina corymbosa","ololiuqui","Convolvulaceae","Tropical America & Africa","VE","STOR (2)                                                 ","1997-0495"
"12047","Verbascum nigrum","dark mullein","Scrophulariaceae","Britain & Europe to Sib","HE","39 (1)                                                 ","1985-0454"
"12235","Viola pubescens","downy yellow violet","Violaceae","NS to Miss & Okla","HD","27 (10)                                                 ","1980-0971"
"12297","Wollemia nobilis","Wollemi pine","Araucariaceae","Australia (NSW, Blue Mts)","TC","58C (1)                                                 ","2016-0180"
"12353","Yucca glauca","soapweed, lamparas de Dios","Asparagaceae","C North Amer","SE","91 (1)                                                 ","2002-0384"
"12381","Zelkova serrata","Japanese zelkova","Ulmaceae","E China, Jpn, Kor & Taiw","TD","19 (1)                                                 ","1975-0483"
"12382","Zelkova serrata","Japanese zelkova","Ulmaceae","E China, Jpn, Kor & Taiw","TD","85A (1)                                                 ","1979-1565"
"12383","Zelkova serrata","Japanese zelkova","Ulmaceae","E China, Jpn, Kor & Taiw","TD","87 (1)                                                 ","1973-0632"
