"","NAME","NATIVITY","HABIT","LOCATION.and.QUANTITY","ACCN.."
"20","Abies kawakamii","Taiwan","TC","NURS (1)                                                 ","2016-0032"
"21","Abies koreana","South Korea","TC","60 (1), 128 (2)","1979-1009"
"43","Acalypha wilkesiana","Pacific Islands","SD","SEAS (1)                                                 ","2009-0544"
"426","Ailanthus altissima","N Chn (& worldwide weed)","TD","122 (1)                                                 ","1983-0246"
"427","Ailanthus altissima","N Chn (& worldwide weed)","TD","74 (7), 127D (2), 134D (4)","1982-1002"
"594","Alstroemeria isabellana","South America","HD","NURS (3)                                                 ","2017-0304"
"649","Anaphalis margaritacea","N Amer, Asia","HD","NURS (72)                                                 ","2015-0039"
"650","Anaphalis margaritacea","N Amer, Asia","HD","NURS (27)                                                 ","2015-0030"
"651","Anaphalis margaritacea","N Amer, Asia","HD","NURS (27), 4 (5), 24A (10)","2011-0302"
"652","Anaphalis margaritacea","N Amer, Asia","HD","137G (6)                                                 ","2013-0211"
"744","Angelica archangelica","Europe & Asia","HD","41B (3)                                                 ","2014-0184"
"745","Angelica archangelica","Europe & Asia","HD","41B (3)                                                 ","1995-0607"
"746","Angelica archangelica","Europe & Asia","HD","NURS (3)                                                 ","2010-0159"
"747","Angelica archangelica","Europe & Asia","HD","NURS (2), 41B (1)","2008-0245"
"771","Apocynum cannabinum","Canada & USA","HD","29 (4), 39 (1)","1992-0515"
"827","Arachniodes simplicior","China & Japan","HE","128 (10)                                                 ","2002-0283"
"828","Arachniodes simplicior","China & Japan","HE","NURS (10), 121 (10)","2012-0223"
"865","Arbutus unedo","SW Ireland to Asia Minor","SE","32A (4)                                                 ","1973-0605"
"866","Arbutus unedo","SW Ireland to Asia Minor","SE","32A (3)                                                 ","1994-0455"
"954","Aristolochia clematitis","Europe, e to Caucasus","VD","80A (1), 127B (1)","1997-0722"
"963","Armeria maritima","Can, USA, Ice & Eurasia","HE","24A (48)                                                 ","2000-0342"
"964","Armeria maritima","Can, USA, Ice & Eurasia","HE","24A (36)                                                 ","2009-0617"
"965","Armeria maritima","Can, USA, Ice & Eurasia","HE","135C (1)                                                 ","1996-0108"
"1075","Asimina triloba","NY to Fla & Texas","TD","107A (1)                                                 ","2012-0020"
"1076","Asimina triloba","NY to Fla & Texas","TD","27 (2)                                                 ","1978-0364"
"1104","Astelia banksii","New Zealand","HE","58C (5)                                                 ","2009-0200"
"1105","Astelia banksii","New Zealand","HE","58 (2)                                                 ","2008-0221"
"1271","Azara serrata","Chile","SE","59 (1)                                                 ","1999-0379"
"1419","Billardiera heterophylla","W Australia","VE","58C (1)                                                 ","2010-0305"
"1420","Billardiera heterophylla","W Australia","VE","NURS (7)                                                 ","2003-0012"
"1518","Butia capitata","South America","TE","NURS (1)                                                 ","2017-0232"
"1519","Butomus umbellatus","Eurasia","W","LK04 (20)                                                 ","1989-0072"
"1520","Butomus umbellatus","Eurasia","W","SEAS (1)                                                 ","2005-0044"
"1521","Butomus umbellatus","Eurasia","W","LK04 (10)                                                 ","1989-0170"
"1522","Butomus umbellatus","Eurasia","W","LK05 (1)                                                 ","1988-0160"
"1719","Calycanthus occidentalis","California","SD","22A (3)                                                 ","1973-0450"
"1837","Campanula patula","Europe & W Siberia","B","50Q (17)                                                 ","1996-0591"
"1881","Canna indica","neotrop, widely nat","HE","SEAS (1)                                                 ","2001-0347"
"1966","Carica papaya","tropical America","TE","SEAS (1)                                                 ","2001-0340"
"1977","Carpobrotus edulis","S Afr, widely nat","HE","SEAS (1)                                                 ","2001-0341"
"2047","Celtis sinensis","China, Japan & Korea","TD","136 (1)                                                 ","1981-0144"
"2203","Chloranthus serratus","China & Japan","HD","86 (5)                                                 ","2013-0237"
"2547","Corokia cotoneaster","New Zealand","SE","NURS (5)                                                 ","2013-0309"
"2603","Corymbia citriodora","E Australia","TE","NURS (1)                                                 ","2010-0160"
"2604","Corymbia citriodora","E Australia","TE","NURS (3)                                                 ","2017-0178"
"2605","Corymbia citriodora","E Australia","TE","SEAS (2)                                                 ","1995-0573"
"2663","Crambe maritima","Europe","HD","69B (9), 61 (2)","2003-0108"
"2798","Cyathea australis","Eastern Australia","TE","NURS (15)                                                 ","2017-0326"
