Species,"MAT, ° C",AL,"N, mg/g","P, mg/g",N/P,References
Pistacia lentiscus,16.4,40.50,10.9,0.9,9.5,"53, 59, 79, 240"
Pistacia terebinthus,13.7,43.10,21.4,,,"13, 53"
Pityrodia bartlingii,18.7,30.00,11.3,0.6,17.7,34
Plagiosiphon emarginatus,28.0,7.55,16.2,,,38
Planchonella firma,26.8,10.00,13.1,0.7,18.7,44
Planchonia carreya,27.4,12.51,12.7,,,"93, 98"
Plantago atrata,3.6,46.83,20.8,,,31
Plantago lanceolata,12.5,45.60,18.2,2.2,9.3,"13, 36"
Plantago media,3.3,47.00,22.6,,,31
Platanus occidentalis,13.0,35.05,18.3,,,17
Pluchea foetida,23.2,25.85,9.3,0.7,13.8,§
Plumeria alba,24.1,18.40,15.1,1.6,8.8,33
Plumeria obtusa,24.1,18.40,13.4,0.3,41.9,33
Plumeria rubra,24.1,18.40,25.4,1.3,19.7,33
Poa annua,9.3,53.40,38.5,4.5,8.6,36
Poa chaixii,7.2,50.93,18.6,1.8,10.4,"41, 42"
Poa flabellata,1.8,,17.1,2.6,6.7,12
Poa nemoralis,1.5,50.98,17.2,2.2,7.7,"41, 80, 84"
Poa trivialis,9.3,53.40,33.6,4.0,8.4,36
Podocarpus archboldii,26.8,10.00,10.6,0.7,15.2,44
Podocarpus elongatus,15.9,33.79,13.5,,,9
Podocarpus latifolius,13.1,32.50,11.4,,,9
Podocarpus urbanii,27.0,18.00,7.4,0.5,14.8,45
Podophyllum peltatum,9.4,40.56,27.9,2.8,4.2,"5, 8, 56"
Poecilanthe hostmanii,25.0,4.00,21.5,,,1
Pollalesta discolor,22.0,2.20,27.2,2.2,12.3,108
Polygala polygama,7.5,43.31,18.3,2.0,9.2,5
Polygonatum biflorum,3.9,46.70,17.9,2.2,6.7,6
Polygonatum multiflorum,9.4,50.17,30.0,2.1,14.3,‡
Polygonatum officinalis,4.1,55.75,33.6,4.5,7.4,35
Polygonatum pubescens,6.5,44.72,16.5,2.7,7.2,"5, 28"
Polygonum bistorta,–8.3,68.63,21.5,1.7,12.7,65
Polygonum cuspidatum,9.0,34.73,22.3,,,241
Polygonum sachalinense,2.1,46.92,38.0,,,57
Polygonum sp.,23.2,25.85,9.8,0.8,12.5,§
Polygonum viviparum,3.6,46.83,32.5,,,31
Polystichum mohrioides,1.8,.,20.0,2.6,7.7,12
Pontederia lanceolata,23.2,25.85,19.0,1.6,11.7,§
Populus alba,17.0,39.54,23.5,,,53
Populus balsamifera,–0.7,60.16,16.9,1.7,10.0,"15, 52"
Populus deltoides,7.0,44.08,20.4,1.8,10.9,"5, 8, 15"
Populus fremontii,13.0,34.62,16.6,,,8
Populus grandidentata,7.6,43.37,24.4,2.5,9.9,"6, 15, 20"
Populus maximowiczii,9.1,51.46,20.6,2.3,9.1,242
Populus nigra,14.2,40.31,23.1,,,"14, 53"
Populus sp.,8.6,49.40,25.2,1.8,14.0,77
Populus tremuloides,0.9,56.28,20.5,2.3,8.6,"6, 8, 15, 52, 69"
Potentilla aurea,3.6,46.83,28.4,,,31
Potentilla crantzii,12.8,43.77,17.9,,,13
Potentilla erecta,9.3,53.40,21.7,1.8,12.1,36
Potentilla tridentata,3.9,46.70,14.5,2.3,6.3,6
Prenanthes alba,3.9,46.70,16.4,2.1,7.9,6
Prenanthes purpurea,7.3,50.98,30.0,2.0,15.0,41
Prestoea montana,24.1,18.40,12.2,0.7,17.8,"33, 55"
Primula elatior,9.4,50.17,25.0,1.9,13.2,‡
Prosopis glandulosa,13.0,34.62,24.9,,,8
Prosopis juliflora,23.1,29.48,30.1,2.2,13.9,243
Protium sp.,26.0,1.93,12.3,,,8
Prunus avium,10.2,50.78,18.0,1.4,12.9,*
Prunus mahaleb,12.8,43.77,21.2,,,13
Prunus pensylvanica,5.8,44.71,23.4,2.4,9.7,"6, 15, 16, 28"
Prunus pumila,3.9,46.70,19.3,2.5,7.3,6
Prunus serotina,7.3,43.64,23.3,2.6,9.4,"5, 6, 15, 20, 56"
Prunus spinosa,12.4,42.87,19.6,,,"13, 14"
Prunus virginiana,5.2,45.63,23.6,2.4,9.7,"6, 15"
Pseudopiptadenia suaveolens,25.0,4.00,18.1,,,1
Pseudotsuga menziesii,8.5,48.82,12.2,1.4,9.2,"114, 151, 244, 245, *, ††"
Psidium cattleianum,12.0,19.50,11.5,0.9,12.8,10
Psidium guajava,22.4,18.56,21.3,2.1,10.0,"10, 246"
Psoralea bituminosa,13.3,43.65,42.0,,,13
Psychotria barteroona,24.1,18.40,31.7,1.0,32.0,33
Psychotria sp.,18.1,18.95,17.6,1.0,17.9,"10, 33"
Pteleopsis myrtifolia,17.4,32.33,22.5,,,9
Pteridium aquilinum,7.6,48.88,24.9,2.4,10.7,"5, 35, 36, 41, 42, 53"
Pterocarpus officinalis,24.1,18.40,17.7,0.6,32.2,33
Pterocaulon pycnostachyum,18.3,33.33,19.7,,,8
Pulmonaria angustifolia,9.4,50.17,22.0,1.7,12.9,‡
Pulmonaria officinalis,9.7,48.00,17.3,3.9,4.4,43
Pulsatilla sulphurea,3.6,46.83,23.7,,,31
Pultenea daphnoides,17.5,33.58,19.2,0.3,56.5,46
Pultenea flexilis,17.5,33.58,16.9,0.4,46.9,46
Pycnanthus angolensis,28.0,7.55,19.2,,,38
Pyrola rotundifolia,3.9,46.70,12.5,1.4,8.9,6
Pyrola secunda,3.9,46.70,15.3,2.3,7.1,6
Pyrus bourgaena,11.5,41.08,21.5,,,14
Quercus alba,11.2,38.51,21.5,1.8,11.1,"5, 15, 17, 21, 24, †, ‡‡"
Quercus bicolor,7.7,43.52,20.2,2.6,7.8,5
Quercus borealis,3.9,46.70,21.6,2.2,9.0,6
Quercus cerris,12.8,41.42,20.1,0.9,21.8,100
Quercus coccifera,13.8,42.73,12.5,0.7,16.9,"14, 53, 79"
Quercus coccinea,12.8,35.05,19.8,1.3,15.3,"8, 17, 23, 24, †"
Quercus ellipsoidalis,8.0,43.15,21.0,,,8
Quercus faginea,11.5,41.08,24.2,,,14
Quercus humilis,17.0,39.54,27.3,,,53
Quercus ilex,14.1,42.60,14.0,0.9,15.6,"13, 50, 53, 54, 59, 79, 100, 247, 248"
Quercus laurifolia,18.0,32.67,12.8,1.9,6.7,21
Quercus leavis,18.3,33.33,11.5,,,8
Quercus macrocarpa,5.6,45.28,22.6,2.2,9.8,"6, 15, 56"
Quercus michauxii,18.0,32.67,19.1,2.6,7.3,21
Quercus nigra,18.0,32.67,19.8,2.4,8.3,21
Quercus petraea,9.1,50.08,21.2,1.8,11.9,"49, 249, 250"
Quercus prinus,11.2,37.64,21.9,1.4,14.4,"17, 23, 24, 26, 27, 50, †, ¶"
Quercus pubescens,13.2,43.67,18.3,0.9,15.8,"13, 79"
Quercus pyrenaica,10.7,41.08,16.8,1.3,11.1,"14, 251"
Quercus robur,8.8,49.53,24.3,1.9,12.5,"19, 43, 49, 77, 106, 110, 111, 186, 252–254, *"
Quercus rotundifolia,11.5,41.08,13.9,,,14
Quercus rubra,9.1,44.62,19.0,1.5,11.6,"5, 15, 17, 23, 24, 26, 27, 49, 72, 185, 192, 234, 255, *, §"
Quercus sp.,10.4,50.90,25.9,2.3,11.3,49
Quercus suber,14.2,44.95,15.3,1.1,13.7,"14, 79, 256"
Quercus turbinella,13.0,34.62,15.4,,,8
Quercus velutina,7.7,43.52,19.2,1.4,13.7,5
Quercus virginiana,18.3,33.33,15.4,,,8
Quintinia acutifolia,11.3,43.33,10.3,,,26
Ramischia secunda,4.1,55.75,19.3,3.9,4.9,35
Ranunculus acris,3.6,46.83,32.6,,,31
Ranunculus biternatus,1.8,,26.0,4.4,6.0,12
Ranunculus cassubicus,4.1,55.75,29.9,3.3,9.1,35
